     5
  1   6.308  -2.039   1.480    .140
  2  -1.799    .590   -.415    .140
  3   -.332    .106   -.076    .140
  4  41.358 -13.668   9.731    .106
  5 -41.238  13.630 -10.004   -.106
     4
  1   3.812   2.344    .438    .140
  2  -2.683  -1.648   -.216    .140
  3 -37.768 -23.813  -3.925   -.106
  4  35.772  22.556   3.995    .106
     4
  1   1.104  -2.934  -5.261    .140
  2   -.501   1.351   2.350    .140
  3   -.493   1.203   2.034    .000
  4    .082   -.214   -.369    .140
     9
  1  -2.107   6.316  -6.501    .140
  2   1.202  -3.678   3.710    .140
  3   -.303    .058   -.977    .140
  4   -.083    .084    .789    .140
  5    .214    .045    .538    .140
  6    .161    .148   -.503    .140
  7   -.103    .309   -.313    .140
  8  10.593 -31.258  32.061    .106
  9  -9.890  29.208 -29.943   -.106
     3
  1   4.988   2.837  -2.287    .140
  2  -3.615  -2.066   1.637    .140
  3 -36.130 -20.562  16.474   -.106
     5
  1   -.118   2.460    .445    .140
  2    .056   -.792   -.144    .140
  3    .022   -.342   -.063    .140
  4  -2.767  45.833   8.213    .106
  5   2.407 -39.981  -7.251   -.106
     6
  1    .157   -.229   2.229    .140
  2    .761   -.996    .390    .140
  3    .384    .134    .952    .140
  4    .208    .073    .517    .140
  5   -.164   -.059   -.407    .140
  6    .071   -.008    .299    .140
     5
  1  -3.195   1.480    .457    .140
  2   1.567   -.745   -.299    .140
  3   -.522   -.920    .824    .140
  4 -44.854  21.381   7.394   -.106
  5  40.707 -19.404  -7.125    .106
     5
  1   1.036    .741   5.156    .140
  2   -.708   -.506  -3.590    .140
  3   -.319   -.129   1.983    .140
  4   -.088   -.062   -.436    .140
  5    .083    .058    .410    .140
     6
  1  -1.622   1.356   2.369    .140
  2   1.464  -1.162  -2.165    .140
  3    .126   -.023   -.382    .140
  4   -.098    .077    .133    .140
  5  23.903 -18.661 -34.228    .106
  6 -20.480  16.006  29.684   -.106
     6
  1   3.467  -1.761    .536    .140
  2  -2.725   1.385   -.353    .140
  3   -.676    .094   -.678    .140
  4   -.494    .444    .251    .140
  5  40.618 -20.063   5.426   -.106
  6 -40.348  19.936  -5.600    .106
     4
  1  -3.190    .390  -4.517    .140
  2   2.222   -.292   3.110    .140
  3    .272   -.034    .398    .140
  4   -.233    .031   -.335    .140
     5
  1    .932   -.730  -2.194    .140
  2   -.868    .636   1.825    .140
  3   -.330    .259    .752    .140
  4    .191   -.144   -.429    .140
  5   -.184    .140    .407    .140
     4
  1   3.493  -4.103  -1.792    .140
  2  -2.365   2.762   1.091    .140
  3 -27.710  33.186  12.841   -.106
  4  26.928 -32.309 -13.756    .106
     6
  1   1.948  -1.530  -3.583    .140
  2  -1.126    .834   2.155    .140
  3    .243   -.187   -.445    .000
  4   -.698    .862    .816    .140
  5    .266    .116    .623    .140
  6   -.286    .220    .531    .140
     6
  1    .139   1.901   -.313    .140
  2   -.346  -1.611    .423    .140
  3   -.112  -1.382    .252    .140
  4    .029    .390   -.056    .140
  5  -3.987 -45.624   8.271   -.106
  6   3.864  44.259  -7.825    .106
     8
  1   2.477   -.276  -3.353    .140
  2  -2.377    .262   3.247    .140
  3   -.364    .050    .510    .000
  4    .063   -.141   -.441    .140
  5    .253   -.034   -.347    .140
  6   -.034    .030   -.122    .140
  7  23.103  -2.873 -31.289   -.106
  8 -19.622   2.688  27.128    .106
     5
  1   -.342   1.220  -3.244    .140
  2    .219   -.664   1.808    .140
  3    .075   -.224    .831    .140
  4    .026   -.206    .536    .140
  5   -.017    .163   -.418    .140
     6
  1   -.427   2.330  -3.745    .140
  2    .248  -1.282   2.029    .140
  3   -.559   -.845   -.011    .140
  4   -.147   -.033   -.746    .140
  5   -.052    .251   -.411    .140
  6    .048   -.220    .346    .140
     6
  1  -1.110  -1.218   2.636    .140
  2    .876    .931  -2.008    .140
  3    .432   -.448  -2.548    .140
  4   -.852   -.845   -.875    .140
  5    .157    .169   -.368    .140
  6   -.149   -.171    .370    .140
     5
  1   -.764   6.102   -.451    .140
  2    .347  -2.898    .174    .140
  3  -1.386    .103    .424    .140
  4   5.959 -45.397   3.186    .106
  5  -5.717  44.035  -3.213   -.106
     2
  1    .195   -.568   3.943    .140
  2   -.062    .228  -1.507    .140
     5
  1   2.756   2.281   2.331    .140
  2  -2.294  -1.884  -1.947    .140
  3   -.241   -.206   -.208    .140
  4  29.343  24.268  25.182    .106
  5 -29.333 -24.259 -25.152   -.106
     6
  1    .397   -.663  -1.590    .140
  2    .717  -1.060  -2.691    .140
  3   -.181    .293    .684    .140
  4   -.442    .860   1.985    .140
  5    .105   -.173   -.420    .140
  6   -.092    .151    .359    .140
     7
  1   2.524  -1.163   -.498    .140
  2  -1.609    .807    .380    .140
  3   -.826    .380    .201    .140
  4   -.147   -.151   -.885    .140
  5    .337   -.155   -.067    .140
  6  42.818 -18.921  -8.867    .106
  7 -27.445  12.144   5.769   -.106
     2
  1    .338    .142  -1.646    .000
  2   -.085   -.039    .424    .140
     8
  1   1.398  -2.549  -3.562    .140
  2  -1.088   1.916   2.725    .140
  3   1.066  -2.065  -3.176    .000
  4    .421    .017  -1.262    .140
  5   -.455   -.885    .038    .140
  6   -.176    .164    .627    .140
  7 -15.645  29.099  40.814    .106
  8  11.141 -20.628 -28.943   -.106
     5
  1  -1.337   1.306   1.689    .140
  2   1.328  -1.298  -1.889    .140
  3   -.177    .174    .245    .140
  4  23.694 -23.155 -33.852   -.106
  5  -5.994   5.932   8.514   -.106
     6
