50	40.91	66.67	46.31	
100	54.55	50	51.13	
500	60.09	55.72	51.18	
1000	65.6	59.3	50.74	66.99
5000	73.35	64.99	58.47	77.66
10000	77.64	63.6	56.1	78.51
